"units","variable","hour","day","ref","refWeekend","floor","zone","subzone","sdTimes","value","time","min","max"
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:00:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:05:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:10:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:15:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:20:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:35:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:25:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:30:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:40:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:05:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:00:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:55:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:45:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:50:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:10:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:15:00",0,0.0744
"%","F_3_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"1",0,0,"3","all","",0,0,"00:20:00",0,0.0744
