"id","day","duration","order","mean","median","max","sum","min","theorTime","weekend","weekday","currTime","diffTime","perTime","department"
" acalzas001",1,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Wednesday",34146,649.5,0.02,"Engineering"
" acalzas001",10,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Friday",32646,-850.5,-0.03,"Engineering"
" acalzas001",13,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Monday",34686,1189.5,0.04,"Engineering"
" acalzas001",2,0.09,0,0.04,0.045,0.09,0.09,0,33496.5,"workday","Thursday",32646,-850.5,-0.03,"Engineering"
" acalzas001",3,0.11,0,0.06,0.055,0.11,0.11,0,33496.5,"workday","Friday",35939,2442.5,0.07,"Engineering"
" acalzas001",31,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Tuesday",34144,647.5,0.02,"Engineering"
" acalzas001",6,0.11,0,0.06,0.055,0.11,0.11,0,33496.5,"workday","Monday",35797,2300.5,0.07,"Engineering"
" acalzas001",7,0.09,0,0.04,0.045,0.09,0.09,0,33496.5,"workday","Tuesday",32300,-1196.5,-0.04,"Engineering"
" acalzas001",8,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Wednesday",34206,709.5,0.02,"Engineering"
" acalzas001",9,0.1,0,0.05,0.05,0.1,0.1,0,33496.5,"workday","Thursday",32406,-1090.5,-0.03,"Engineering"
" acampo001",1,0.09,0,0.04,0.045,0.09,0.09,0,33496.5,"workday","Wednesday",39692,6195.5,0.18,"Executive"
" acampo001",10,0,0,0,0,0,0,0,33496.5,"workday","Friday",36167,2670.5,0.08,"Executive"
" acampo001",13,1,0.32,0.66,0.66,1,1.32,0.32,33496.5,"workday","Monday",29041,-4455.5,-0.13,"Executive"
" acampo001",2,0.26,0.37,0.32,0.315,0.37,0.63,0.26,33496.5,"workday","Thursday",35257,1760.5,0.05,"Executive"
" acampo001",3,0,0,0,0,0,0,0,33496.5,"workday","Friday",36136,2639.5,0.08,"Executive"
" acampo001",31,0,0,0,0,0,0,0,33496.5,"workday","Tuesday",36136,2639.5,0.08,"Executive"
" acampo001",6,0.05,0.68,0.36,0.365,0.68,0.73,0.05,33496.5,"workday","Monday",35267,1770.5,0.05,"Executive"
" acampo001",7,0.09,0,0.04,0.045,0.09,0.09,0,33496.5,"workday","Tuesday",39767,6270.5,0.19,"Executive"
" acampo001",8,0,0,0,0,0,0,0,33496.5,"workday","Wednesday",36167,2670.5,0.08,"Executive"
" acampo001",9,0.26,0.37,0.32,0.315,0.37,0.63,0.26,33496.5,"workday","Thursday",35255,1758.5,0.05,"Executive"
" agerard001",1,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Wednesday",23859,-9637.5,-0.29,"Facilities"
" agerard001",10,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Friday",24939,-8557.5,-0.26,"Facilities"
" agerard001",13,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Monday",24277,-9219.5,-0.28,"Facilities"
" agerard001",2,0.08,0,0.04,0.04,0.08,0.08,0,33496.5,"workday","Thursday",23856,-9640.5,-0.29,"Facilities"
" agerard001",3,0.1,0,0.05,0.05,0.1,0.1,0,33496.5,"workday","Friday",25188,-8308.5,-0.25,"Facilities"
" agerard001",31,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Tuesday",24039,-9457.5,-0.28,"Facilities"
" agerard001",6,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Monday",23984,-9512.5,-0.28,"Facilities"
" agerard001",7,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Tuesday",24456,-9040.5,-0.27,"Facilities"
" agerard001",8,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Wednesday",24348,-9148.5,-0.27,"Facilities"
